vehicle_number,violation_count,unique_zones,vehicle_type,last_seen,top_zone
FKN00GL11705,14,1,SCOOTER,2024-01-25 03:34:46,BTP032 - Windsor Circle
FKN00GL12424,14,1,MOTOR CYCLE,2024-03-08 11:12:46,GRID_12.99_77.66
FKN00GL25145,14,1,SCOOTER,2024-04-01 11:39:46,BTP211 - Central Street Junction
FKN00GL3502,14,1,MOTOR CYCLE,2024-03-28 13:33:46,GRID_12.93_77.69
FKN00GL32527,14,1,MOTOR CYCLE,2024-03-27 07:20:46,BTP051 - Safina Plaza Junction
FKN00GL31294,14,2,SCOOTER,2024-03-23 09:08:46,GRID_13.07_77.59
FKN00GL3173,14,2,SCOOTER,2024-03-30 11:16:46,BTP040 - Elite Junction
FKN00GL10831,14,1,SCOOTER,2024-01-27 05:48:46,BTP051 - Safina Plaza Junction
FKN00GL3743,14,2,PASSENGER AUTO,2024-03-31 10:37:46,BTP051 - Safina Plaza Junction
FKN00GL37015,14,1,SCOOTER,2024-04-06 09:39:46,BTP040 - Elite Junction
FKN00GL10011,14,1,MOTOR CYCLE,2024-02-24 05:39:46,GRID_12.93_77.69
FKN00GL8211,14,2,SCOOTER,2024-02-29 05:11:46,BTP044 - Sagar Theatre Junction
FKN00GL5280,14,3,CAR,2024-04-04 03:25:46,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road"
FKN00GL49799,14,1,SCOOTER,2024-04-07 09:37:46,BTP051 - Safina Plaza Junction
FKN00GL50737,14,1,MOTOR CYCLE,2024-04-08 13:54:46,GRID_13.01_77.55
FKN00GL6423,14,2,SCOOTER,2024-02-07 11:24:46,GRID_13.07_77.59
FKN00GL6652,14,3,TEMPO,2024-04-04 03:26:46,"BTP204 - ESI Hospital, Rajajinagar"
FKN00GL7760,14,2,PASSENGER AUTO,2024-04-01 12:54:46,BTP051 - Safina Plaza Junction
FKN00GL0088,14,1,SCOOTER,2024-02-10 08:39:46,BTP032 - Windsor Circle
FKN00GL14388,13,1,SCOOTER,2024-04-01 10:14:46,BTP040 - Elite Junction
FKN00GL7926,13,1,CAR,2024-03-19 10:01:46,GRID_13.01_77.55
FKN00GL19727,13,2,SCOOTER,2024-04-03 06:51:46,BTP040 - Elite Junction
FKN00GL13296,13,1,CAR,2024-03-05 02:49:46,BTP044 - Sagar Theatre Junction
FKN00GL17374,13,1,SCOOTER,2024-03-19 03:30:46,GRID_12.93_77.69
FKN00GL1641,13,1,SCOOTER,2024-02-23 13:52:46,BTP044 - Sagar Theatre Junction
FKN00GL17669,13,1,SCOOTER,2024-02-07 11:55:46,BTP040 - Elite Junction
FKN00GL17849,13,1,MOTOR CYCLE,2024-03-28 09:11:46,GRID_12.93_77.69
FKN00GL7697,13,1,MOTOR CYCLE,2024-03-07 06:05:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL17792,13,1,SCOOTER,2024-04-06 10:43:46,GRID_12.93_77.69
FKN00GL9159,13,1,SCOOTER,2024-04-06 15:00:46,GRID_12.99_77.66
FKN00GL0085,13,1,SCOOTER,2024-04-07 04:40:46,BTP051 - Safina Plaza Junction
FKN00GL11015,13,1,SCOOTER,2024-03-29 11:01:46,BTP051 - Safina Plaza Junction
FKN00GL53686,13,1,CAR,2023-12-15 10:01:46,GRID_12.97_77.62
FKN00GL53263,13,1,MAXI-CAB,2024-02-22 01:16:46,BTP040 - Elite Junction
FKN00GL68690,13,1,SCOOTER,2024-03-11 09:01:46,BTP082 - KR Market Junction
FKN00GL60534,13,2,SCOOTER,2024-04-06 12:13:46,BTP044 - Sagar Theatre Junction
FKN00GL7134,13,2,PASSENGER AUTO,2024-04-04 09:13:46,GRID_12.98_77.61
FKN00GL7586,13,1,SCOOTER,2024-04-04 09:56:46,BTP051 - Safina Plaza Junction
FKN00GL31097,13,1,SCOOTER,2024-03-05 12:44:46,GRID_13.07_77.59
FKN00GL11577,13,1,SCOOTER,2024-04-07 08:41:46,BTP044 - Sagar Theatre Junction
FKN00GL86275,13,2,SCHOOL VEHICLE,2024-04-08 11:13:46,GRID_13.02_77.53
FKN00GL4211,13,1,SCOOTER,2024-01-30 13:00:46,GRID_12.93_77.61
FKN00GL8261,13,1,MOPED,2024-04-07 09:35:46,BTP040 - Elite Junction
FKN00GL0990,13,1,MOTOR CYCLE,2024-03-20 09:50:46,GRID_12.93_77.69
FKN00GL41594,13,3,LORRY/GOODS VEHICLE,2024-04-08 02:11:46,GRID_12.89_77.64
FKN00GL0938,13,1,SCOOTER,2024-03-22 08:10:46,GRID_12.93_77.69
FKN00GL73563,13,1,SCOOTER,2024-03-23 08:31:46,BTP040 - Elite Junction
FKN00GL3018,13,3,SCOOTER,2024-02-02 07:03:46,BTP020 - Hosahalli Metro Station
FKN00GL2692,13,1,SCOOTER,2024-03-13 04:25:46,BTP020 - Hosahalli Metro Station
FKN00GL0923,13,1,SCOOTER,2024-03-15 05:50:46,GRID_12.93_77.69
FKN00GL9032,13,1,SCOOTER,2024-03-14 06:18:46,GRID_12.97_77.66
FKN00GL2378,13,2,MOTOR CYCLE,2024-02-09 02:42:46,BTP032 - Windsor Circle
FKN00GL24491,13,1,SCOOTER,2024-03-24 06:01:46,GRID_13.07_77.59
FKN00GL4517,13,1,CAR,2024-03-30 01:13:46,BTP058 - Subbanna Junction
FKN00GL44125,13,2,SCOOTER,2024-04-04 04:37:46,BTP044 - Sagar Theatre Junction
FKN00GL63327,13,1,SCOOTER,2024-03-22 11:15:46,GRID_13.07_77.59
FKN00GL23020,12,3,SCOOTER,2024-02-07 02:25:46,BTP032 - Windsor Circle
FKN00GL20859,12,1,SCOOTER,2024-03-30 14:43:46,BTP040 - Elite Junction
FKN00GL1911,12,1,SCOOTER,2024-03-23 04:03:46,BTP044 - Sagar Theatre Junction
FKN00GL18558,12,1,SCOOTER,2024-03-12 11:28:46,GRID_12.97_77.66
FKN00GL22726,12,1,SCOOTER,2024-03-07 06:05:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL23892,12,1,MOTOR CYCLE,2024-03-17 13:51:46,BTP051 - Safina Plaza Junction
FKN00GL23218,12,1,MOTOR CYCLE,2024-02-07 03:24:46,BTP032 - Windsor Circle
FKN00GL18220,12,1,MOTOR CYCLE,2024-02-24 04:22:46,GRID_12.93_77.69
FKN00GL16589,12,1,SCOOTER,2024-03-18 13:05:46,GRID_12.97_77.66
FKN00GL0373,12,1,MOTOR CYCLE,2024-03-15 06:00:46,GRID_12.93_77.69
FKN00GL16533,12,1,MOTOR CYCLE,2024-03-06 12:22:46,GRID_12.93_77.69
FKN00GL17172,12,1,MOTOR CYCLE,2024-03-10 08:26:46,BTP051 - Safina Plaza Junction
FKN00GL17572,12,3,CAR,2024-01-19 10:52:46,BTP040 - Elite Junction
FKN00GL7945,12,1,SCOOTER,2024-02-15 11:42:46,GRID_13.07_77.59
FKN00GL14458,12,2,MAXI-CAB,2024-03-25 07:14:46,GRID_12.97_77.62
FKN00GL13448,12,2,LGV,2024-03-27 23:56:46,BTP082 - KR Market Junction
FKN00GL1620,12,2,SCOOTER,2024-04-07 08:54:46,GRID_12.98_77.61
FKN00GL15995,12,1,MOTOR CYCLE,2024-02-26 10:10:46,BTP051 - Safina Plaza Junction
FKN00GL1530,12,2,CAR,2024-03-23 08:49:46,BTP032 - Windsor Circle
FKN00GL14474,12,1,SCOOTER,2024-01-25 07:46:46,GRID_12.97_77.66
FKN00GL19006,12,1,MOTOR CYCLE,2024-03-13 04:25:46,BTP020 - Hosahalli Metro Station
FKN00GL17806,12,1,SCOOTER,2024-01-16 06:48:46,GRID_12.93_77.69
FKN00GL18168,12,1,SCOOTER,2024-02-24 04:58:46,GRID_12.93_77.69
FKN00GL30840,12,2,MOTOR CYCLE,2024-02-10 10:35:46,BTP051 - Safina Plaza Junction
FKN00GL2891,12,2,SCOOTER,2024-02-15 09:08:46,BTP044 - Sagar Theatre Junction
FKN00GL2863,12,2,SCOOTER,2024-02-01 08:40:46,BTP020 - Hosahalli Metro Station
FKN00GL76754,12,3,MOTOR CYCLE,2024-03-05 06:45:46,BTP032 - Windsor Circle
FKN00GL2927,12,1,SCOOTER,2024-03-28 13:21:46,GRID_12.93_77.69
FKN00GL11665,12,1,SCOOTER,2024-03-22 07:57:46,GRID_12.93_77.69
FKN00GL43944,12,2,MOTOR CYCLE,2024-03-17 03:59:46,GRID_13.04_77.59
FKN00GL113054,12,1,MOTOR CYCLE,2023-11-22 11:52:46,BTP051 - Safina Plaza Junction
FKN00GL37361,12,1,SCOOTER,2024-03-15 05:53:46,GRID_12.93_77.69
FKN00GL38195,12,1,PASSENGER AUTO,2024-04-04 13:24:46,BTP051 - Safina Plaza Junction
FKN00GL32518,12,1,SCOOTER,2024-03-17 08:42:46,BTP051 - Safina Plaza Junction
FKN00GL115574,12,1,CAR,2024-01-09 02:02:46,GRID_12.89_77.64
FKN00GL3284,12,2,PASSENGER AUTO,2024-03-17 12:36:46,BTP051 - Safina Plaza Junction
FKN00GL8470,12,1,CAR,2024-04-07 00:55:46,BTP058 - Subbanna Junction
FKN00GL25393,12,1,SCOOTER,2024-03-15 04:38:46,GRID_12.93_77.69
FKN00GL76628,12,1,SCOOTER,2024-03-05 05:20:46,BTP032 - Windsor Circle
FKN00GL49847,12,1,CAR,2024-04-06 03:56:46,GRID_12.97_77.62
FKN00GL45098,12,2,PASSENGER AUTO,2024-03-29 08:03:46,BTP051 - Safina Plaza Junction
FKN00GL48905,12,2,SCOOTER,2024-03-12 03:31:46,GRID_13.04_77.59
FKN00GL11030,12,3,LGV,2024-04-05 01:35:46,BTP044 - Sagar Theatre Junction
FKN00GL11028,12,1,SCOOTER,2024-02-22 01:27:46,"BTP095 - Satellite Bus Stand, Mysore Road"
FKN00GL44458,12,2,SCOOTER,2024-03-31 04:51:46,BTP027 - Modi Bridge Junction
FKN00GL10599,12,2,LGV,2024-03-22 09:27:46,BTP038 - Mysore Bank Junction
FKN00GL5390,12,1,SCOOTER,2024-04-03 03:14:46,BTP020 - Hosahalli Metro Station
FKN00GL50547,12,1,CAR,2024-03-12 08:49:46,BTP040 - Elite Junction
FKN00GL52672,12,1,MOTOR CYCLE,2024-03-17 06:52:46,GRID_13.07_77.59
FKN00GL50347,12,1,MOPED,2024-04-04 07:10:46,BTP040 - Elite Junction
FKN00GL5761,12,1,SCOOTER,2024-04-04 10:48:46,BTP020 - Hosahalli Metro Station
FKN00GL5701,12,1,SCOOTER,2024-04-08 07:43:46,BTP040 - Elite Junction
FKN00GL7161,12,1,MOTOR CYCLE,2024-02-16 03:45:46,GRID_13.05_77.53
FKN00GL62335,12,4,SCOOTER,2024-04-06 03:50:46,"BTP001 - 10th Cross, Dr. Rajkumar Road"
FKN00GL6174,12,1,SCOOTER,2024-02-14 10:40:46,BTP023 - Mahalaxmi Layout Entrance
FKN00GL1053,12,1,MOTOR CYCLE,2024-03-27 02:42:46,GRID_12.93_77.69
FKN00GL6480,12,2,SCOOTER,2024-03-27 07:44:46,GRID_12.98_77.61
FKN00GL6855,12,1,SCOOTER,2024-02-03 01:20:46,GRID_12.97_77.66
FKN00GL6629,12,1,MOTOR CYCLE,2024-02-06 10:39:46,GRID_13.07_77.59
FKN00GL69641,12,1,SCOOTER,2024-01-18 09:51:46,BTP040 - Elite Junction
FKN00GL13988,12,1,SCOOTER,2024-03-09 06:11:46,BTP082 - KR Market Junction
FKN00GL2652,11,1,SCOOTER,2024-04-06 02:22:46,GRID_12.93_77.69
FKN00GL26363,11,1,SCOOTER,2024-03-17 09:07:46,BTP051 - Safina Plaza Junction
FKN00GL0330,11,2,MOTOR CYCLE,2024-03-30 05:23:46,BTP027 - Modi Bridge Junction
FKN00GL0049,11,1,SCOOTER,2024-03-10 12:41:46,GRID_12.84_77.65
FKN00GL14081,11,1,SCOOTER,2024-03-22 08:09:46,GRID_12.93_77.69
FKN00GL14083,11,1,MOPED,2024-03-22 07:56:46,GRID_12.93_77.69
FKN00GL0147,11,3,GOODS AUTO,2024-04-02 11:31:46,BTP118 - Basappa Circle
FKN00GL26002,11,2,LGV,2024-03-17 01:16:46,BTP082 - KR Market Junction
FKN00GL37439,11,1,MOTOR CYCLE,2024-03-20 11:35:46,GRID_12.93_77.69
FKN00GL36866,11,2,PASSENGER AUTO,2024-02-29 07:52:46,BTP064 - Devanga Hostel Junction
FKN00GL26291,11,2,MOTOR CYCLE,2024-03-13 05:47:46,GRID_13.07_77.59
FKN00GL3937,11,1,MOTOR CYCLE,2024-03-28 07:59:46,GRID_12.93_77.69
FKN00GL21231,11,4,LGV,2024-03-28 02:11:46,BTP044 - Sagar Theatre Junction
FKN00GL36507,11,1,SCOOTER,2024-03-05 05:20:46,BTP032 - Windsor Circle
FKN00GL36086,11,1,SCOOTER,2024-04-01 00:54:46,BTP082 - KR Market Junction
FKN00GL20071,11,1,SCOOTER,2024-02-23 07:52:46,BTP040 - Elite Junction
FKN00GL123587,11,1,SCOOTER,2024-01-01 08:29:46,BTP051 - Safina Plaza Junction
FKN00GL113789,11,1,MOTOR CYCLE,2024-01-14 11:04:46,BTP051 - Safina Plaza Junction
FKN00GL42010,11,1,SCOOTER,2024-04-07 09:04:46,BTP044 - Sagar Theatre Junction
FKN00GL4216,11,2,MOTOR CYCLE,2024-03-28 08:09:46,GRID_12.93_77.69
FKN00GL122435,11,1,SCOOTER,2024-01-01 08:32:46,BTP051 - Safina Plaza Junction
